category,city/state,language,impact,Type of Policy,expiration,section
Disqualifies Complaints,Austin,"The statutory time period for the Chief of Police to take disciplinary action against an Officer shall be tolled to the extent of any period in which a court order, injunction, or TRO, obtained by the Officer involved or the ASSOCIATION on behalf of the Officer, halts the Departments investigative or disciplinary process. In no event will the actual time exceed 180 calendar days.",180 day statute of limitations on investigations or no discipline can be imposed,Contract,9/30/17,16.11.a lines 19-22
Disqualifies Complaints,Buffalo,"No removal or disciplinary proceeding shall be commenced more than one ( 1) year after the occurrence of the wrong-doing complained of or its
 
 discovery, if later. However, such limitation shall not apply where the wrongdoing complained of would, if proved in a court of appropriate jurisdiction, constitute a crime.",1 year statute of limitations on investigations or no discipline can be imposed,Contract,6/30/17,22.12.1 E
Disqualifies Complaints,California Police Bill of Rights,"Except as provided in this subdivision and subdivision (g), no punitive action, nor denial of promotion on grounds other than merit, shall be undertaken for any act, omission, or other allegation of misconduct if the investigation of the allegation is not completed within one year of the public agencyÕs discovery by a person authorized to initiate an investigation of the allegation of an act, omission, or other misconduct. This one-year limitation period shall apply only if the act, omission, or other misconduct occurred on or after January 1, 1998. In the event that the public agency determines that discipline may be taken, it shall complete its investigation and notify the public safety officer of its proposed discipline by a Letter of Intent or Notice of Adverse Action articulating the discipline that year, except as provided in paragraph (2). The public agency shall not be required to impose the discipline within that one-year period.",1 year statute of limitations on investigations or no discipline can be imposed,State Law,None,3304.d.1
Disqualifies Complaints,Cleveland,"In such cases where the administrative investigation is initiated without a citizens' complaint, and the investigation could not lead to criminal charges, the City shall not bring administrative charges later than one (1) year after the date within which the Chief had knowledge of the alleged violation. If the administrative charges are not brought within one (1) year, the accused member may be ordered to respond to the complaint and to the investigation, but shall not be subject to disciplinary action. The City may be granted an additional ninety (90) days for good cause shown.",1 year statute of limitations on self-initiated investigations or no discipline can be imposed,Contract,3/13/16,8.12.M
Disqualifies Complaints,Cleveland,"In the event that administrative charges are filed against an officer by the Chief of Police and such charges do not give rise to a criminal indictment, then the charges shall be disposed of by the Director of Public Safety within ninety (90) days of their filing, unless extended by mutual agreement; otherwise the charges shall be automatically dismissed.",90 day statute of limitations on imposing discipline after charges are filed,Contract,3/13/16,29.74
Disqualifies Complaints,Columbus,"The investigation of citizen complaints shall be concluded within ninety (90) days after the date the complaint was received by the City. This deadline may be extended by the Lodge upon written request from the City. Such request will set forth rationale for the Citys inability to meet the ninety (90) day deadline and include an estimated time of completion. An agreement to extend an investigation beyond the ninety (90) days will not be unreasonably withheld by the Lodge. An investigation will be considered concluded on the date it is initially forwarded to the chain of command for review. If the applicable time limit is not met, or the investigation otherwise exceeds one-hundred eighty (180) days, no member will be disciplined arising out of the investigation of such citizen complaint. The ninety (90) day limit shall be held in abeyance pending determination by the chain of command to investigate criminal activity and during any on-going criminal investigation. Further, the ninety (90) day limit shall not apply to any chain of command review. At the conclusion of any investigation, the member shall be informed in writing of the outcome.",180 day statute of limitations on investigations or no discipline can be imposed. After an initial 90 days the consent of the union is needed to extend an investigation further.,Contract,12/8/17,8.14
Disqualifies Complaints,Columbus,"In order for a citizen complaint (including an anonymous complaint) to be investigated, the complaint must be received by the City in writing or reduced to writing within sixty (60) days after the date of the alleged event giving rise to the complaint. Further, when an anonymous complaint is made against a member and no corroborative evidence is obtained from the information that either accompanies the complaint or that si reasonably obtainable from information provided in the complaint, the complaint shall be classified as not investigated and the accused member shall not be required to respond.",60 day statute of limitations on submitting complaints or no discipline can be imposed. No anonymous complaints allowed to be investigated without corroborative evidence in the complaint.,Contract,12/8/17,8.12
Disqualifies Complaints,El Paso,"Disciplinary action in non-criminal matters must be taken against an officer within one hundred and eighty (180) calendar days following the occurrence of the incident. Disciplinary action in criminal related matters must be taken against an officer within two (2) years of occurrence of the incident or within sixty (60) calendar days of discovery of the incident, whichever is later. The Police Chief and Association may by agreement extend these time periods.","180 day statute of limitations on investigations or no discipline can be imposed, 2 year statute of limitations on criminal cases",Contract,8/31/18,Article 30.2
Disqualifies Complaints,Florida Police Bill of Rights,"Except as provided in this subsection, disciplinary action, suspension, demotion, or dismissal may not be undertaken by an agency against a law enforcement officer or correctional officer for any act, omission, or other allegation of misconduct if the investigation of the allegation is not completed within 180 days after the date the agency receives notice of the allegation by a person authorized by the agency to initiate an investigation of the misconduct. If the agency determines that disciplinary action is appropriate, it shall complete its investigation and give notice in writing to the law enforcement officer or correctional officer of its intent to proceed with disciplinary action, along with a proposal of the specific action sought, including length of suspension, if applicable. Notice to the officer must be provided within 180 days after the date the agency received notice of the alleged misconduct",180 day statute of limitations on investigations or no discipline can be imposed,State Law,None,Section 112.532.6.a
Disqualifies Complaints,Glendale,"All complaints filed against a member of the Employee Organization will be completed within 120 days. If not completed in the alloted timeframe, the investigation will be dismissed and deemed un-sustained, except as outlined in Section 4.4.2.b",120 day statute of limitations on investigations or no discipline can be imposed,Contract,6/30/16,4.4.2
Disqualifies Complaints,Glendale,"However, after reviewing the anonymous complaint, the department may attempt to independently corroborate the information providing it can do so without
 
 subjecting the involved member to an interview. If the department is unable to corroborate the information, the matter will be dropped. The time frame to corroborate anonymous complaints is thirty calendar days; except allegations that on the face are criminal. If the department independently discovers a potential policy violation, the department may initiate an internal investigation.","30 day statute of limitations on verifying anonymous complaints, unless they allege criminal activity, or the complaint is dropped.",Contract,6/30/16,4.4.1.1
Disqualifies Complaints,Hialeah,"Any internal investigation, except where criminal charges are being investigated, shall be completed within sixty (60) days from the date the officer is informed of the initial complaint. No officer may be subjected to any disciplinary action as a result of any investigation not completed within that time period.","60 day statute of limitations on investigations or no discipline, criminal investigations exempted from this rule",Contract,9/30/16,25.2.O
