category,city/state,language,impact,Type of Policy,expiration,section,,,,
Erases Misconduct Record,Escondido ,"No documents relating to the grievance process shall be filed in the employee's personnel file. However, this shall not apply to any document setting forth a disciplinary action which is not challenged or is sustained after an appeal.",Removes documentation of grievance process if no disciplinary action is taken,Contract,12/31/2020,6.02.8,,,,
Erases Misconduct Record,Orange,"An employee may request to purge documentation of discipline older than five years from the date of the discipline from his department file, including the employee performance evaluations which refer to the discipline being purged. ",Removes disciplinary records from personnel file after a period of 5 years. ,Contract,06/30/2019,Article XXVI,,,,
Erases Misconduct Record,Oxnard,"No employee shall have any comment adverse to his/her interest entered in his/her personnel file, or any other file used for any personnel purposes by City, without the employee having first read and signed the instrument containing the adverse comment indicating he/she is aware of such comment, except that such entry may be made if after reading such instrument the employee refuses to sign it. Should an employee refuse to sign, that fact shall be noted on that document and signed or initialed by such employee. ",Allows officers to sign off on adverse comments in personnel files,Contract,08/31/2018,Article XXI.L,,,,
Erases Misconduct Record,Pomona,Disciplinary memoranda and related documentation that are contained in the departmental personnel file shall be expunged after five years provided that no related incident occurs since the writing of the disciplinary memorandum. ,Expunges disciplinary records after 5 years,Contract,06/30/2017,Article XI.A,,,,
Erases Misconduct Record,Pomona,"In addition, the City agrees to remove any documentation constituting punitive action under the Public Safety Officers' Procedural Bill of Rights Act from all personnel files on the last date of employment. Such documents which are older than three years shall bedestroyed. Such documents less than three years shall be kept in a separate file in the Human Resources Department. Documents retained by the City at separation shall be destroyed three years after the employee leaves City employment.",Erases records after 3 years,Contract,06/30/2017,Article XI.B,,,,
Erases Misconduct Record,San Bernardino,"No member shall have any comment adverse to his/her interest entered in his/her personnel file as described in PC 832.8, or any other files used for any personnel puproses by the employer, without the member having first read and signed the instrument ontaining the adverse comment indicating he/she is aware of such commnet, except that such entry may be made if after reading such instrument, the member refuses to sign it. Should a member refuse to sign, that fact shall be noted on the document and signed or initialed by such officer. ",Allows officers to sign off on adverse comments in personnel files,Contract,12/30/2020,Section 8,,,,
Erases Misconduct Record,San Bernardino,A member shall have 30 days within which to file a written response to any adverse comment entered in his/her personnel file. Such written response shall be attached to and accompany the adverse comment.,Allows officers to respond to adverse comments in personnel files,Contract,12/30/2020,Section 8,,,,
Erases Misconduct Record,San Bernardino,Citizen/internal complaints will be purged from the Internal Affairs files in compliance with the departmental Standard Operating Procedures. ,Purges citizen/internal complaints from personnel files. ,Contract,12/30/2020,Section 8,,,,
Erases Misconduct Record,Simi Valley,"No documents relating to a personnel complaint investigation shall be placed in a Police Unit employee's personnel file if no disciplinary action is taken. For the purposes of this section, disciplinary actions shall include official verbal counseling and warnings, as well as, reprimands, suspensions, demotions and terminations.",Removal of disciplinary records if no formal action taken,Contract,06/30/2021,"Section VI, Article 3",,,,
Erases Misconduct Record,Antioch,"Letters of Counseling may be purged following a period of two (2) years from the date issued, except Letters of Counseling  resulting from a formal citizen's complaint will not be given consideration for purging until five (5) years from the date the Letter was issued.",Letters of counseling are removed the personnel file after a period of 2 years.,Contract,08/31/2021,Article XIII. E. 3A.,,,,
