category,city/state,language,impact,Type of Policy,expiration,section
Gives officers unfair access to information,Albuquerque,"if the questioning is mechanically or stenographically recorded, the member shall be allowed to provide his/her own mechanical recording device.",Gives officers immediate access to the recorded interrogation,Contract,7/16/15,20.1.9
Gives officers unfair access to information,Albuquerque,"The name of the charging officer, complaintant, or citizen making the charge shall be disclosed if this information is known to the officer conducting the investigation. If this information is not known, this shall be disclosed. Disclosure of the complaintants name will not be required if revelaing his/her name jeopardizes the investigation; however, once the investigation is completed, the name(s) of the complaintants will be revealed at the request of the officer who was under investigation along with a copy of the official complaint, signed or unsigned.",Gives officers access to the names of complainants prior to an interrogation,Contract,7/16/15,20.1.3
Gives officers unfair access to information,Albuquerque,"When available, before an administrative investigator interrogates an officer as a direct result of an official complaint by a citizen whose identity is known, that citizen shall be required to sign a statement clearly provided to the officer at the same time of the interrogation.",Gives officers access to the names of complainants and nature of complaint before interrogation,Contract,7/16/15,20.1.12
Gives officers unfair access to information,Anchorage,"Employees under non-criminal investigation get a written complaint within 4 working days. And where known, the employees shall get the name of the complainant unless that will jeopardize them.",Gives officers access to the names of complainants and nature of complaint before interrogation,Contract,6/30/18,5.1.G.3
Gives officers unfair access to information,Anchorage,"The interview may be recorded, and if it is, the employee shall have access to the recording, if any further proceedings are contemplated, or prior to any further interviews at a subsequent time. The employee that is being interviewed shall also have the right to bring his or her own recording device and record any and all aspects of the interview and, if the employee does so, the employee shall provide the Municipality access to the recording. No recording device may be used by any party unless the Association and the Municipality are made aware of the fact prior to such interview. Employees shall be entitled to a transcribed copy of any notes made by a stenographer.",Gives officers immediate access to the recorded interrogation,Contract,6/30/18,5.1.G.6
Gives officers unfair access to information,Arizona Police Bill of Rights,"Before the commencement of any interview described in this section, the employer shall provide the law enforcement officer with a written notice informing the officer of the alleged facts that are the basis of the investigation, the specific nature of the investigation, the officer's status in the investigation, all known allegations of misconduct that are the reason for the interview and the officer's right to have a representative present at the interview. The notice shall include copies of all complaints that contain the alleged facts that are reasonably available, except for copies of complaints that are filed with the employer and that include allegations of unlawful discrimination, harassment or retaliation or complaints that involve matters under the jurisdiction of the equal employment opportunity commission.",Gives officers access to the names of complainants and nature of complaint before interrogation,State Law,None,38-1104.A.2
Gives officers unfair access to information,Austin,"g) When the Chief of Police is notified that the Panel plans to review a case involving a critical incident or an allegation of a civil rights violation, the Officer and his representative shall be given an opportunity to meet with the Internal Affairs investigator and review witness statements and photographic or videotape evidence contained in the IA file, for up to eight hours.",Gives officers access to all evidence prior to an interrogation,Contract,9/30/17,17.4.g lines 14-17
Gives officers unfair access to information,Austin,"b) Before the Officer who is the subject of an investigation provides a statement to an investigator, the Officer and his representative shall be provided an opportunity to review any videotape, photograph, or other recording of the operative conduct or alleged injuries, if any, which is the subject of the allegations if such recording is within the possession or control of the Department.",Gives officers access to all evidence prior to an interrogation,Contract,9/30/17,17.4.b lines 23-27
Gives officers unfair access to information,Austin,"i) The Officer and his representative shall be allowed up to eight hours to review any and all evidence gathered or obtained during the investigation. The evidence available for review shall include the IA summary, if any;",Gives officers access to all evidence prior to an interrogation,Contract,9/30/17,17.4.f.i lines 5-7
Gives officers unfair access to information,Baton Rouge,All interrogations of an Employee in connection with any investigation shall be recorded in full. An Employee who has been identified as the subject of an investigation shall be entitled to obtain a copy of the entire investigation record upon written request.,Gives officers immediate access to the recorded interrogation,Contract,12/31/16,IX.A.6
