category,city/state,language,impact,Type of Policy,expiration,section
Limits Oversight / Discipline,Albuquerque,Any information released to the Police Oversight Commission shall not contain information that identifies sworn department personnel.,Prevents the identity of the officer or information about the investigation from being released to the oversight commission,Contract,7/16/15,20.1.10
Limits Oversight / Discipline,Anaheim,"If the grievance is then appealed to Third Step to be submitted to an impartial arbitrator for a final and binding decision, ANAHEIM and the APA agree to:
 29.5.2.1 Develop a standing list of mutually approved arbitrators.
 29.5.2.1.1 This list shall include no more than five (5) mutually approved arbitrators.
 29.5.2.1.2ANAHEIM and the APA agree to re-establish the list of arbitrators once each year in January. 
 29.5.2.1.3 ANAHEIM and the APA may agree to remove arbitrators from this list at anytime.
 29.5.2.2 Select the arbitrator from the standing list that has the earliest, reasonable available hearing date, unless the parties mutually agree to select another arbitrator from the list.
 29.5.2.3 Stipulate to the following submission language when a dismissal is submitted to an impartial arbitrator. ""Was (name of employee) dismissed for good and sufficient cause? If not, what shall the remedy be?",Allows officers to overturn discipline through binding arbitration,Contract,7/7/11,29.5
Limits Oversight / Discipline,Anaheim,"An employee who has been suspended, demoted, or dismissed may be reinstated to his or her position as a result of a successful appeal through the grievance procedure. In the event of such reinstatement, the employee shall be returned to the employees former status of employment, including reinstatement of seniority and accrued fringe benefits. In cases heard by the Anaheim City Manager, the decision shall explicitly detail what backpay, if any, is awarded to a reinstated employee. Any earnings of the reinstated employee from other employment during the employees period of suspension shall be deducted from the amount of back pay ordered by the Anaheim City Manager, if the employee would not have otherwise earned such amount.",Allows officers to overturn discipline through binding arbitration,Contract,7/7/11,29.6
Limits Oversight / Discipline,Anaheim,An employee may appeal disciplinary actions taken under this ARTICLE under the provisions of ARTICLE 55 - GRIEVANCE GENERAL.,Allows officers to overturn discipline through binding arbitration,Contract,7/7/11,29.4
Limits Oversight / Discipline,Anchorage,The decision of the arbitrator will be binding upon all parties hereto.,Allows officers to overturn discipline through binding arbitration,Contract,6/30/18,5.2
Limits Oversight / Discipline,Arizona Police Bill of Rights,The results of a polygraph examination in an investigation may not be the basis for disciplinary action unless other corroborating evidence or information exists to support that disciplinary action.,Prevents officers from being disciplined because they failed a lie detector test,State Law,None,38-1108.A
Limits Oversight / Discipline,Arizona Police Bill of Rights,"On an appeal of discipline by the employee, a hearing officer, administrative law judge or appeals board may dismiss the discipline if it is determined that the employer did not make a good faith effort to complete the investigation within one hundred eighty calendar days. The allegation regarding any act, omission or other misconduct may be sustained, and the employee's record shall reflect that the allegation was sustained but no discipline was administered due to the finding of the hearing officer, administrative law judge or appeals board that the employer did not make a good faith effort to complete the investigation in one hundred eighty calendar days. The sustained discipline may be considered when determining discipline in any future sustained misconduct allegation. If the employer determines that disciplinary action is appropriate, the employer shall complete the employer's investigation and give notice in writing to the law enforcement officer of the employer's intent to proceed with disciplinary action, along with a proposal of the specific action sought, including length of suspension, if applicable.",180 day statute of limitations on investigations or no discipline can be imposed,State Law,None,38-1110.C
Limits Oversight / Discipline,Austin,"(2) The final decision as to appropriate discipline is within the sole discretion of the Chief of Police, subject to the Officers right of appeal of any discipline imposed as provided by Chapter 143 of the Texas Local Government Code and this AGREEMENT. Neither the OPM 6 employees nor individual members of the Panel shall publicly express agreement or 7 disagreement with the final disciplinary decision of the Chief, other than as set forth in the 8 written recommendation. A deliberate violation of this provision shall be subject to the dispute 9 resolution process set forth in Section 7 of this Article, but a Panel member shall be permanently 10 removed from the Panel upon a violation of this standard",No civilian discipline power,Contract,9/30/17,"16.6.2,3.4.5"
Limits Oversight / Discipline,Austin,"c) Except as otherwise provided by this AGREEMENT, the Chief of Police retains all management rights and authority over the process of administrative investigation of alleged misconduct by APD Officers that could result in disciplinary action.",Limits civilian power to conduct misconduct investigations,Contract,9/30/17,16.1.c lines 16-18
Limits Oversight / Discipline,Austin,"d) Except as specifically permitted in this Article, the Citizen Oversight process, regardless of its name or structure, shall not be used or permitted to gather evidence, contact or interview witnesses, or otherwise independently investigate a complaint of misconduct by an Officer. There shall be no legal or administrative requirement, including but not limited to subpoena power or an order from the City Manager or the Department, that an Officer appear before or present evidence to any individual, panel, committee, group, or forum of any type involved in Citizen Oversight.",No civilian subpoena power,Contract,9/30/17,16.1.d lines 20-26
Limits Oversight / Discipline,Austin,"c. Information in the possession of the Association Representative as a result of 22 participation in such briefing shall not be disclosed or revealed other than as 23 necessary as a part of official Association business in monitoring and enforcing 24 this AGREEMENT, or in the normal course of dispute resolution processes 25 under this AGREEMENT.","PBA knows what everyone said even in private, cannot disclose publicly",Contract,9/30/17,16.4.h.2.c lines 21-25
Limits Oversight / Discipline,Austin,"The final classification of an allegation of misconduct is within the sole discretion of the Chief of Police, subject to the Officers right of appeal of any discipline imposed as provided by Chapter 143 of the Texas Local Government Code and this AGREEMENT",No civilian discipline power,Contract,9/30/17,16.3.d lines 32-35
Limits Oversight / Discipline,Austin,"After the Private Session, the Panel shall meet in Public Session to receive public input/communications. During the public session, the Police Monitor shall take precautions to prevent discussion of the facts of the particular case and to prevent the Public Session from being used as a forum to gather evidence, interview witnesses, or otherwise independently investigate a complaint.",panel not allowed to hear any data in public session,Contract,9/30/17,16.4.i lines 40-43
Limits Oversight / Discipline,Austin,"2) A Panel recommendation that further investigation by the Department is warranted, as authorized by Section 4(l)(1)(a). Unless made confidential by a law other than Section 143.089(g) of the Texas Local Government Code, such recommendations shall be subject to public release, in their entirety, only after the Police Chiefs final disciplinary decision as to the subject Officer(s), and only if the Police Chief imposes discipline.","police chief, if doing nothing, keeps info from getting out",Contract,9/30/17,16.6.2 lines 44-3
Limits Oversight / Discipline,Austin,"(4) By virtue of its purely advisory role, the Panel is not a governmental body and is not subject to the Open Meetings Act.","meetings can be held in secret, don't have to abide by sunshine law",Contract,9/30/17,16.4.f.4 lines 8-9
Limits Oversight / Discipline,Austin,"Neither the OPM employees nor individual members of the Panel shall publicly express agreement or disagreement with the final disciplinary decision of the Chief, other than as set forth in the written recommendation. A deliberate violation of this provision shall be subject to the dispute 9 resolution process set forth in Section 7 of this Article, but a Panel member shall be permanently 10 removed from the Panel upon a violation of this standard.",Prevents civilian oversight from criticizing Police Chief,Contract,9/30/17,16.4.l.2 lines 5-10
Limits Oversight / Discipline,Austin,"no public release unless police chief says so. Police chief decides eveything. ""(2) The final decision as to appropriate discipline is within the sole discretion of the
 
 Chief of Police, subject to the Officers right of appeal of any discipline imposed as provided by Chapter 143 of the Texas Local Government Code and this AGREEMENT. Neither the OPM employees nor individual members of the Panel shall publicly express agreement or disagreement with the final disciplinary decision of the Chief, other than as set forth in the written recommendation. A deliberate violation of this provision shall be subject to the dispute resolution process set forth in Section 7 of this Article, but a Panel member shall be permanently removed from the Panel upon a violation of this standard",No civilian discipline power,Contract,9/30/17,16.4.l.2 lines 3-5
Limits Oversight / Discipline,Austin,"There shall be no legal or administrative requirement, including but not limited to subpoena 2 power or an order from the City Manager or the Department, that an officer appear before or 3 present evidence to any individual, panel, committee, group, or forum of any type involved in 4 Citizen Oversight.",No civilian subpoena power,Contract,9/30/17,17.3 lines 1-4
Limits Oversight / Discipline,Bakersfield,The mediator shall make no public recommendations nor shall there be any public disclosure of mediation discussions in further proceedings in the grievance procedure.,Prevents the public from accessing information about mediation results and processes,Contract,6/30/13,09.10.00
Limits Oversight / Discipline,Baltimore,"For major disciplinary matters, where a three-person Departmental Hearing Board is established, such hearing shall not be scheduled any sooner than forty-five ( 45) days from the date that counsel for the accused receives a copy of the charges and the IAD case book material, unless a shorter period is mutually agreed upon by the Department and counsel.","Prevents officers from being disciplined until a departmental hearing board in many cases, delays the hearing board for a 45 day period after the officer's lawyer receives notice.",Contract,9/30/16,16.C.2
