category,city/state,language,impact,Type of Policy,expiration,section
Requires City Pay for Misconduct,Albuquerque,"Should a police officer be sued in a civil action for any allegations arising out of the course and scope of the officers employment, the city will defend and indemnify that officer pursuant to the requirements of the New Mexico Tort Claims act",City pays costs of misconduct settlements and full cost of legal defense,Contract,7/16/15,23.1.1
Requires City Pay for Misconduct,Anaheim,An employee found to be unfit for duty as a result of a fitness for duty assessment shall be deemed eligible for Paid Leave and Short-Term Disability Benefits,"Officers have paid leave or disability if unfit for duty, including due to substances",Contract,7/7/11,62.2
Requires City Pay for Misconduct,Anaheim,"Employees in classifications listed in Appendix ""A"" may be placed on Administrative Leave With Pay at the discretion of Police Department management with the concurrence of the Anaheim City Manager under the following circumstances: 54.1.1 Officers involved in shooting. 54.1.2 Officers suspected of wrongful acts at such times as the best interests of ANAHEIM are served by keeping such officers away from the workplace.","Paid leave for officers involved in police killing, at discretion of Police Chief",Contract,7/7/11,54.1
Requires City Pay for Misconduct,Anchorage,"Employees shall be compensated if the interview occurs off-duty, at the appropriate rate of pay.",City pays officers while being interrogated off-duty,Contract,6/30/18,5.1.G.2
Requires City Pay for Misconduct,Austin,"If the Chief determines to suspend an Officer for fifteen (15) days or less, the Chief may, at his sole discretion in hardship cases, authorize use of the Officer's accumulated vacation leave to cover all or part of the suspension. It is also understood and agreed that if the Chief permits the use of vacation days for suspension, such days off shall be considered as equal punishment to traditional unpaid days of suspension.",Allows officers to use discretionary time to pay themselves while on unpaid suspension,Contract,9/30/17,18.2
Requires City Pay for Misconduct,Austin,"Suspensions that may not be appealed. The Officer may choose to use vacation or holiday time to serve the suspension with no loss of paid salary and no break in service for purposes of seniority, retirement, promotion, or any other purpose",Allows officers to use discretionary time to pay themselves while on unpaid suspension,Contract,9/30/17,18.1.a.1
Requires City Pay for Misconduct,Baltimore,Suspension without pay may only be imposed in accordance with this Section and only in the case of an employee charged with a felony.,"paid leave for officers involved in misconduct, except when charged with a felony which almost never happens",Contract,9/30/16,16.a.1
Requires City Pay for Misconduct,Baltimore,Legal counsel will be provided in any civil case when the plaintiff alleges that a member should be held liable for acts alleged to be within the scope of his employment and/or his official capacity. ... indemnification will also be provided to any member of the unit who is made a defendant in litigation arising out of acts within the scope of his or her employment.,City pays costs of misconduct settlements and full cost of legal defense,Contract,9/30/16,15
Requires City Pay for Misconduct,Baton Rouge,City shall provide legal defense and indemnify any officer who is sued in connection with activities occurring during the course and scope of his employment.,City pays costs of misconduct settlements and full cost of legal defense,Contract,12/31/16,XXI
Requires City Pay for Misconduct,Buffalo,"By law, the City is required to indemnify officers in civil matters","City indemnifies officers for civil matters, but not criminal ones",Contract,6/30/17,Page 85
Requires City Pay for Misconduct,California Police Bill of Rights,"If the interrogation does occur during off-duty time of the public safety officer being interrogated, the public safety officer shall be compensated for any off-duty time in accordance with regular department procedures, and the public safety officer shall not be released from employment for any work missed.",City pays officers while being interrogated off-duty,State Law,None,3303.a
Requires City Pay for Misconduct,Chicago,"The Summary Punishment which may be administered conforms to the ""Notice to Supervisors
 
 Regarding Progressive Discipline,"" as set forth in this Agreement, and is limited to:
 
 1. reprimand;
 
 2. excusing a member for a minimum of one day to a maximum of three
 
 days without pay.
 
 In all instances, the Summary Punishment shall be satisfied by deducting the equivalent
 
 of day(s) off without pay from the Officers accumulated compensatory time or, at the
 
 Officers sole discretion, by deducting the equivalent of day(s) off without pay from the
 
 Officers furlough, personal days, or baby furlough days. In all instances, eight hours of
 
 accumulated elective time, including compensatory time, furlough, personal days, and
 
 baby furlough days, shall be equal to one day off without pay. If the Officer does not
 
 have sufficient accumulated compensatory time, then the days off shall be satisfied by
 
 means of days off without pay, unless the Officer elects to use his furlough, personal
 
 days, or baby furlough days.",Allows officers to use discretionary time to pay themselves while on unpaid suspension,Contract,6/30/17,7.1.A
