category,city/state,language,impact,Type of Policy,expiration,section
Restricts/Delays Interrogations,Albuquerque,"Only two interrogators, the involved officer and his/her representatives (up to two) will be allowed to participate, observe or monitor the interrogation. Others may be allowed by mutual consent.",Limits the number of interrogators to two,Contract,7/16/15,20.1.6
Restricts/Delays Interrogations,Albuquerque,"The interrogation shall be completed as soon as possible and the actual interrogation shall be limited as follows:
 
 On-duty and off-duty personnel: maximum of two, (2) two-hour sessions within twenty-four (24) hour period with a one (1) hour break between sessions. In no event shall the officer's tour of duty and interrogation exceed fourteen (14) hours unless both parties agree to continuation of the sessions.","Limits interrogations to two 2-hour sessions within 24 hour time period, and fourteen hours when combined with officer's work shift, requires interrogation be completed ""as soon as possible,"" gives officers breaks that are not given to civilians",Contract,7/16/15,20.1.5.1
Restricts/Delays Interrogations,Albuquerque,"The officer shall not be subjected to any offensive language, coercion, or promise of reward as an inducement to answering questions. Nothing herein is to be construed to prohibit the investigating officer from informing the officer that his/her conduct can become the subject of disciplinary action.",Limits the type of language and incentives used during interrogation,Contract,7/16/15,20.1.6
Restricts/Delays Interrogations,Anchorage,"Save when in the reasonable judgement of the Police Chief prior notice of an interview will serisouly jeopardize an investigation, an employee under investigation for a non-criminal offense shall be provided with a minimum of twenty-four (24) hours notice of any non-criminal interview.",24 hour delay,Contract,6/30/18,5.1.G.4
Restricts/Delays Interrogations,Anchorage,Interview sessions shall be for a reasonable period and under reasonable conditions.,Limits interrogations to 'reasonable amount of time',Contract,6/30/18,5.1.G.4
Restricts/Delays Interrogations,Anchorage,Interviews shall be conducted under circumstances devoid of abuse,Limits the type of language and incentives used during interrogation,Contract,6/30/18,5.1.G.8
Restricts/Delays Interrogations,Arizona Police Bill of Rights,"The law enforcement officer shall be permitted reasonable breaks of limited duration during any interview for telephonic or in person consultation with authorized persons, including an attorney, who are immediately available.",Gives officers breaks that are not given to civilians,State Law,None,38-1104.A.1
Restricts/Delays Interrogations,Austin,"a) Not less than forty eight (48) hours before the Officer who is the subject of an investigation provides a statement to an investigator, the Officer shall be provided a copy of the complaint(s).",48 hours for the police officer to prepare before giving statement,Contract,9/30/17,17.4.a lines 13-15
Restricts/Delays Interrogations,Baltimore,"In the event that a member shall be investigated for an on-duty use of deadly force, (including but not limited to discharging of a firearm), the member shall not be required to submit to drug screening and/or alcohol testing unless there is reasonable suspicion to believe the member acted under the influence of drugs and/or alcohol. Changes to this standard are reserved to the Police Commissioner and may be changed at his discretion.",Limits drug testing after police shootings,Contract,9/30/16,Addendum E
Restricts/Delays Interrogations,Baton Rouge,Any interrogation shall be for a reasonable period of time and shall allow for a reasonable period of rest and time for the Employee to see to personal needs.,"Limits interrogations to 'reasonable amount of time', gives officers breaks that are not given to civilians",Contract,12/31/16,IX.A.4
