"","No","City","Contract Review Status","Complaint form / link to complaint process","Contract URL","State","Available Elsewhere Online?","Slack handle of person interested in reviewing this contract.","Expiration Date","Comments","pdfname","pdf_parsing_success"
"1",1,"Anchorage","Done","Complaint Form: https://www.muni.org/Departments/police/HowDoI/Documents/IACompForm_053112.pdf  Complaint information https://www.muni.org/Departments/police/HowDoI/Documents/APD%201095%20Ver.%205_12.pdf","https://www.muni.org/Departments/employee_relations/Pages/CBA09.aspx","AK","Municipal Website",NA,NA,NA,"001-AK-Anchorage",FALSE
"2",2,"Chandler","Done","https://www.chandlerpd.com/complaint/","http://www.chandleraz.gov/content/20160623_13.PDF","AZ","Municipal Website",NA,NA,NA,"002-AZ-Chandler",FALSE
"3",3,"Glendale","Done","https://www.glendaleca.gov/government/departments/police-department/commendation-complaint-forms/gpd-complaint-form-english","https://www.glendaleaz.com/clerk/Contracts/10632.pdf","AZ","Municipal Website",NA,NA,NA,"003-AZ-Glendale",FALSE
"4",4,"Mesa","Done","https://www.mesaaz.gov/residents/police/units-divisions/professional-standards/professional-standards-complaint-form","https://static1.squarespace.com/static/559fbf2be4b08ef197467542/t/56789d93df40f3876baa8075/1450745235910/Mesa+Police+Union+Contract.pdf","AZ","Campaign Zero",NA,NA,NA,"004-AZ-Mesa",TRUE
"5",5,"Phoenix","Done","https://www.phoenix.gov/police/commendation-complaint-form","https://azplea.com/wp-content/uploads/2016/06/MOU-2016-2019.pdf","AZ","Municipal Website",NA,NA,NA,"005-AZ-Phoenix",TRUE
"6",6,"Tucson","Done","https://www.tucsonaz.gov/police/complaints","https://www.tucsonaz.gov/files/hr/tpd/2015-2018_TPOA_Contract.pdf","AZ","Municipal Website",NA,NA,NA,"006-AZ-Tucson",FALSE
"7",7,"Jacksonville","Done","https://securecomplaintform.jaxsheriff.org/","http://www.coj.net/departments/employee-services/labor-relations","FL","Municipal Website",NA,NA,NA,"007-FL-Jacksonville",FALSE
"8",8,"Philadelphia","Done","https://www.phillypolice.com/forms/official-complaint-form","http://fop5.org/contract/","PA","Association or Union Website",NA,NA,NA,"008-PA-Philadelphia",FALSE
"9",9,"Milwaukee","Done","https://city.milwaukee.gov/police/Information-Services/Citizen-Complaints/Online-Complaint-Submission-Form.htm","http://city.milwaukee.gov/der/LaborContracts","WI","Municipal Website",NA,NA,NA,"009-WI-Milwaukee",FALSE
"10",10,"Columbus","Done","https://www.columbus.gov/Templates/Detail.aspx?ekfrm=2147510737","http://www.serb.state.oh.us/sections/research/WEB_CONTRACTS/WebContracts.htm","OH","State Website",NA,NA,NA,"010-OH-Columbus",FALSE
